id;creationTime;chatId;startingCause;usuario;type;text;caracteres
YTO4K4A2XYXHD41EKMUQ_2024-01-13T00:00:49.433Z;2024-01-13T00:00:49Z;YTO4K4A2XYXHD41EKMUQ;Organic;bot;text;¡Hola! Soy *Ana*, la asistente virtual de Guru.   Estoy para ayudarte en lo que necesites.;74;0
YTO4K4A2XYXHD41EKMUQ_2024-01-13T00:00:49.433Z;2024-01-13T00:00:49Z;YTO4K4A2XYXHD41EKMUQ;Organic;bot;text;País de Consulta:(AR) Argentina;28;0
YTO4K4A2XYXHD41EKMUQ_2024-01-13T00:00:49.433Z;2024-01-13T00:00:49Z;YTO4K4A2XYXHD41EKMUQ;Organic;bot;text;CUIT/CUIL/DNI/CI (###########);29;0
YTO4K4A2XYXHD41EKMUQ_2024-01-13T00:00:49.433Z;2024-01-13T00:00:49Z;YTO4K4A2XYXHD41EKMUQ;Organic;user;text;27259021273;11;0
YTO4K4A2XYXHD41EKMUQ_2024-01-13T00:00:49.433Z;2024-01-13T00:00:49Z;YTO4K4A2XYXHD41EKMUQ;Organic;bot;text;Espere por favor ....;18;0
YTO4K4A2XYXHD41EKMUQ_2024-01-13T00:00:49.433Z;2024-01-13T00:00:49Z;YTO4K4A2XYXHD41EKMUQ;Organic;bot;text;Hola ANALIA YOLANDA ARRIETA,  bienvenido  😀;36;0
YTO4K4A2XYXHD41EKMUQ_2024-01-13T00:00:49.433Z;2024-01-13T00:00:49Z;YTO4K4A2XYXHD41EKMUQ;Organic;bot;text;Detalle la modificación:;22;0
YTO4K4A2XYXHD41EKMUQ_2024-01-13T00:00:49.433Z;2024-01-13T00:00:49Z;YTO4K4A2XYXHD41EKMUQ;Organic;user;text;Facturacion;11;0
YTO4K4A2XYXHD41EKMUQ_2024-01-13T00:00:49.433Z;2024-01-13T00:00:49Z;YTO4K4A2XYXHD41EKMUQ;Organic;bot;text;Su pedido de modificación será atendido a la brevedad con el ticket número: 1175256 Gracias. 🙂;79;0
YTO4K4A2XYXHD41EKMUQ_2024-01-13T00:00:49.433Z;2024-01-13T00:00:49Z;YTO4K4A2XYXHD41EKMUQ;Organic;bot;text;Detalle la modificación:;22;0
YTO4K4A2XYXHD41EKMUQ_2024-01-13T00:00:49.433Z;2024-01-13T00:00:49Z;YTO4K4A2XYXHD41EKMUQ;Organic;user;text;Importe;7;0
YTO4K4A2XYXHD41EKMUQ_2024-01-13T00:00:49.433Z;2024-01-13T00:00:49Z;YTO4K4A2XYXHD41EKMUQ;Organic;bot;text;Su pedido de modificación será atendido a la brevedad con el ticket número: 1175257 Gracias. 🙂;79;0
YTO4K4A2XYXHD41EKMUQ_2024-01-13T00:00:49.433Z;2024-01-13T00:00:49Z;YTO4K4A2XYXHD41EKMUQ;Organic;bot;text;Esperamos nuevamente su visita. Gracias. 👍;37;0
R223EHHXNMTHAGEF467L_2024-01-13T00:02:39.588Z;2024-01-13T00:02:39Z;R223EHHXNMTHAGEF467L;Organic;agent;text;Hola, cómo está? Pudo revisar el tutorial compartido?;46;0
R223EHHXNMTHAGEF467L_2024-01-13T00:02:39.588Z;2024-01-13T00:02:39Z;R223EHHXNMTHAGEF467L;Organic;user;text;No lo puedo abrir;14;0
YTO4K4A2XYXHD41EKMUQ_2024-01-13T00:03:48.554Z;2024-01-13T00:03:48Z;YTO4K4A2XYXHD41EKMUQ;Organic;bot;text;¡Hola! Soy *Ana*, la asistente virtual de Guru.   Estoy para ayudarte en lo que necesites.;74;0
YTO4K4A2XYXHD41EKMUQ_2024-01-13T00:03:48.554Z;2024-01-13T00:03:48Z;YTO4K4A2XYXHD41EKMUQ;Organic;bot;text;País de Consulta:(AR) Argentina;28;0
YTO4K4A2XYXHD41EKMUQ_2024-01-13T00:03:48.554Z;2024-01-13T00:03:48Z;YTO4K4A2XYXHD41EKMUQ;Organic;bot;text;CUIT/CUIL/DNI/CI (###########);29;0
YTO4K4A2XYXHD41EKMUQ_2024-01-13T00:03:48.554Z;2024-01-13T00:03:48Z;YTO4K4A2XYXHD41EKMUQ;Organic;user;text;2725902127;10;0
YTO4K4A2XYXHD41EKMUQ_2024-01-13T00:03:48.554Z;2024-01-13T00:03:48Z;YTO4K4A2XYXHD41EKMUQ;Organic;bot;text;Espere por favor ....;18;0
YTO4K4A2XYXHD41EKMUQ_2024-01-13T00:03:48.554Z;2024-01-13T00:03:48Z;YTO4K4A2XYXHD41EKMUQ;Organic;bot;text;Hola ANALIA YOLANDA ARRIETA,  bienvenido  😀;36;0
YTO4K4A2XYXHD41EKMUQ_2024-01-13T00:03:48.554Z;2024-01-13T00:03:48Z;YTO4K4A2XYXHD41EKMUQ;Organic;bot;text;Describa su reclamo:;18;0
YTO4K4A2XYXHD41EKMUQ_2024-01-13T00:03:48.554Z;2024-01-13T00:03:48Z;YTO4K4A2XYXHD41EKMUQ;Organic;user;text;Facturacion;11;0
YTO4K4A2XYXHD41EKMUQ_2024-01-13T00:03:48.554Z;2024-01-13T00:03:48Z;YTO4K4A2XYXHD41EKMUQ;Organic;bot;text;Su reclamo será atendido a la brevedad con el ticket número: 1175258 Gracias. 🙂;66;0
YTO4K4A2XYXHD41EKMUQ_2024-01-13T00:03:48.554Z;2024-01-13T00:03:48Z;YTO4K4A2XYXHD41EKMUQ;Organic;bot;text;Le recordamos que el horario de atención es de Lunes a Viernes de 8:30 hs a 18 hs. 👍;66;0
YTO4K4A2XYXHD41EKMUQ_2024-01-13T00:03:48.554Z;2024-01-13T00:03:48Z;YTO4K4A2XYXHD41EKMUQ;Organic;bot;text;Esperamos nuevamente su visita. Gracias. 👍;37;0
YTO4K4A2XYXHD41EKMUQ_2024-01-13T00:03:48.554Z;2024-01-13T00:03:48Z;YTO4K4A2XYXHD41EKMUQ;Organic;bot;text;Gracias por comunicarse con nosotros. 👋;34;0
C5BFUNPK5GJXD4XIUTLS_2024-01-13T00:07:05.754Z;2024-01-13T00:07:05Z;C5BFUNPK5GJXD4XIUTLS;Organic;agent;text;Entiendo, en este caso le explicaré como brindarnos la administración para así poder vincularla a nuestro portales;98;0
C5BFUNPK5GJXD4XIUTLS_2024-01-13T00:07:05.754Z;2024-01-13T00:07:05Z;C5BFUNPK5GJXD4XIUTLS;Organic;agent;text;1) ingrese en el siguiente link https://business.google.com/;54;0
C5BFUNPK5GJXD4XIUTLS_2024-01-13T00:07:05.754Z;2024-01-13T00:07:05Z;C5BFUNPK5GJXD4XIUTLS;Organic;user;text;Ya;2;0
C5BFUNPK5GJXD4XIUTLS_2024-01-13T00:07:05.754Z;2024-01-13T00:07:05Z;C5BFUNPK5GJXD4XIUTLS;Organic;user;text;Porfavor me pueden llamarme;24;0
C5BFUNPK5GJXD4XIUTLS_2024-01-13T00:07:05.754Z;2024-01-13T00:07:05Z;C5BFUNPK5GJXD4XIUTLS;Organic;agent;text;Perfecto, al ingresar al link, iniciar sesión con el correo con el cual hizo la ficha;70;0
C5BFUNPK5GJXD4XIUTLS_2024-01-13T00:07:05.754Z;2024-01-13T00:07:05Z;C5BFUNPK5GJXD4XIUTLS;Organic;user;text;Señorita;8;0
C5BFUNPK5GJXD4XIUTLS_2024-01-13T00:07:05.754Z;2024-01-13T00:07:05Z;C5BFUNPK5GJXD4XIUTLS;Organic;user;text;No entiendo;10;0
C5BFUNPK5GJXD4XIUTLS_2024-01-13T00:07:05.754Z;2024-01-13T00:07:05Z;C5BFUNPK5GJXD4XIUTLS;Organic;user;text;La ficha no se ha creado bin;22;0
C5BFUNPK5GJXD4XIUTLS_2024-01-13T00:07:05.754Z;2024-01-13T00:07:05Z;C5BFUNPK5GJXD4XIUTLS;Organic;user;text;Bien;4;0
C5BFUNPK5GJXD4XIUTLS_2024-01-13T00:07:05.754Z;2024-01-13T00:07:05Z;C5BFUNPK5GJXD4XIUTLS;Organic;user;text;No lo pueden hacer ustedes?;23;0
C5BFUNPK5GJXD4XIUTLS_2024-01-13T00:07:05.754Z;2024-01-13T00:07:05Z;C5BFUNPK5GJXD4XIUTLS;Organic;agent;text;No podemos porque está en su correo, Justo el paso que vamos a realizar es para que nos brinde acceso a la ficha, no accederemos a su correo o información, es solo una administración donde nos dará permiso de poder entrar a su ficha;189;0
C5BFUNPK5GJXD4XIUTLS_2024-01-13T00:07:05.754Z;2024-01-13T00:07:05Z;C5BFUNPK5GJXD4XIUTLS;Organic;user;text;No tengo buena señal;17;0
C5BFUNPK5GJXD4XIUTLS_2024-01-13T00:07:05.754Z;2024-01-13T00:07:05Z;C5BFUNPK5GJXD4XIUTLS;Organic;agent;text;Entiendo;8;0
C5BFUNPK5GJXD4XIUTLS_2024-01-13T00:07:05.754Z;2024-01-13T00:07:05Z;C5BFUNPK5GJXD4XIUTLS;Organic;agent;text;Vamos a empezar de nuevo, para así explicarle cómo brindarnos acceso a su ficha ☺️;68;0
C5BFUNPK5GJXD4XIUTLS_2024-01-13T00:07:05.754Z;2024-01-13T00:07:05Z;C5BFUNPK5GJXD4XIUTLS;Organic;user;text;Ok;2;0
C5BFUNPK5GJXD4XIUTLS_2024-01-13T00:07:05.754Z;2024-01-13T00:07:05Z;C5BFUNPK5GJXD4XIUTLS;Organic;agent;text;Ingresa acá con su correo, el correo que uso para crear esta ficha;54;0
C5BFUNPK5GJXD4XIUTLS_2024-01-13T00:07:05.754Z;2024-01-13T00:07:05Z;C5BFUNPK5GJXD4XIUTLS;Organic;agent;text;Si la ficha se creó correctamente debería aparecerle su ficha ahí;55;0
C5BFUNPK5GJXD4XIUTLS_2024-01-13T00:07:05.754Z;2024-01-13T00:07:05Z;C5BFUNPK5GJXD4XIUTLS;Organic;user;text;Así me sale en donde ingreso;23;0
C5BFUNPK5GJXD4XIUTLS_2024-01-13T00:07:05.754Z;2024-01-13T00:07:05Z;C5BFUNPK5GJXD4XIUTLS;Organic;agent;text;Perfecto!!;10;0
C5BFUNPK5GJXD4XIUTLS_2024-01-13T00:07:05.754Z;2024-01-13T00:07:05Z;C5BFUNPK5GJXD4XIUTLS;Organic;agent;text;Perfecto!!;10;0
C5BFUNPK5GJXD4XIUTLS_2024-01-13T00:07:05.754Z;2024-01-13T00:07:05Z;C5BFUNPK5GJXD4XIUTLS;Organic;agent;text;Perfecto!!;10;0
