id;creationTime;chatId;startingCause;usuario;type;text;caracteres
VUOYI2ZXCMY6YJ0EG3ES_2024-01-19T01:43:23.847Z;2024-01-19T01:43:23Z;VUOYI2ZXCMY6YJ0EG3ES;Organic;user;text;¿Qué tal?;8;0
VUOYI2ZXCMY6YJ0EG3ES_2024-01-19T01:43:23.847Z;2024-01-19T01:43:23Z;VUOYI2ZXCMY6YJ0EG3ES;Organic;bot;text;Hola! Soy *Ana*, la asistente virtual de Guru.  Estoy para ayudarte en lo que necesites.;73;0
VUOYI2ZXCMY6YJ0EG3ES_2024-01-19T01:43:23.847Z;2024-01-19T01:43:23Z;VUOYI2ZXCMY6YJ0EG3ES;Organic;bot;text;País de Consulta:(AR) Argentina;28;0
VUOYI2ZXCMY6YJ0EG3ES_2024-01-19T01:43:23.847Z;2024-01-19T01:43:23Z;VUOYI2ZXCMY6YJ0EG3ES;Organic;bot;text;Le recordamos que el horario de atención es de Lunes a Viernes de 8:30 hs a 18 hs. 👍;66;0
VUOYI2ZXCMY6YJ0EG3ES_2024-01-19T01:43:23.847Z;2024-01-19T01:43:23Z;VUOYI2ZXCMY6YJ0EG3ES;Organic;bot;text;Esperamos nuevamente su visita. Gracias. 👍;37;0
VUOYI2ZXCMY6YJ0EG3ES_2024-01-19T01:43:55.456Z;2024-01-19T01:43:55Z;VUOYI2ZXCMY6YJ0EG3ES;Organic;bot;text;¡Hola! Soy *Ana*, la asistente virtual de Guru.   Estoy para ayudarte en lo que necesites.;74;0
VUOYI2ZXCMY6YJ0EG3ES_2024-01-19T01:43:55.456Z;2024-01-19T01:43:55Z;VUOYI2ZXCMY6YJ0EG3ES;Organic;bot;text;CUIT/CUIL/DNI/CI (###########);29;0
VUOYI2ZXCMY6YJ0EG3ES_2024-01-19T01:43:55.456Z;2024-01-19T01:43:55Z;VUOYI2ZXCMY6YJ0EG3ES;Organic;bot;text;Gracias por comunicarse con nosotros. 👋;34;0
H3EHKN4D2ZFTJMLWYW2R_2024-01-19T02:03:41.070Z;2024-01-19T02:03:41Z;H3EHKN4D2ZFTJMLWYW2R;Organic;bot;text;Hola! Soy *Ana*, la asistente virtual de Guru.  Estoy para ayudarte en lo que necesites.;73;0
H3EHKN4D2ZFTJMLWYW2R_2024-01-19T02:03:41.070Z;2024-01-19T02:03:41Z;H3EHKN4D2ZFTJMLWYW2R;Organic;user;text;hola;4;0
H3EHKN4D2ZFTJMLWYW2R_2024-01-19T02:03:41.070Z;2024-01-19T02:03:41Z;H3EHKN4D2ZFTJMLWYW2R;Organic;bot;text;¡Hola! Soy *Ana*, la asistente virtual de Guru.   Estoy para ayudarte en lo que necesites.;74;0
H3EHKN4D2ZFTJMLWYW2R_2024-01-19T02:03:41.070Z;2024-01-19T02:03:41Z;H3EHKN4D2ZFTJMLWYW2R;Organic;bot;text;País de Consulta:(AR) Argentina;28;0
H3EHKN4D2ZFTJMLWYW2R_2024-01-19T02:03:41.070Z;2024-01-19T02:03:41Z;H3EHKN4D2ZFTJMLWYW2R;Organic;user;text;servicios;9;0
H3EHKN4D2ZFTJMLWYW2R_2024-01-19T02:03:41.070Z;2024-01-19T02:03:41Z;H3EHKN4D2ZFTJMLWYW2R;Organic;user;text;servicios que brindan;19;0
H3EHKN4D2ZFTJMLWYW2R_2024-01-19T02:03:41.070Z;2024-01-19T02:03:41Z;H3EHKN4D2ZFTJMLWYW2R;Organic;bot;text;Esperamos nuevamente su visita. Gracias. 👍;37;0
H3EHKN4D2ZFTJMLWYW2R_2024-01-19T02:03:41.070Z;2024-01-19T02:03:41Z;H3EHKN4D2ZFTJMLWYW2R;Organic;bot;text;Gracias por comunicarse con nosotros. 👋;34;0
